word,translation
atrada,находить
atradām,находить
atradāt,находить
atradi,находить
atradīs,находить
atradīsi,находить
atradīsiet,находить
atradīsim,находить
atradīšu,находить
atradu,находить
atrod,находить
atrodam,находить
atrodat,находить
atrodi,находить
atrodu,находить
bija,быть
bijām,быть
bijāt,быть
biji,быть
biju,быть
brauc,ехать
brauca,ехать
braucam,ехать
braucām,ехать
braucat,ехать
braucāt,ехать
brauci,ехать
braucu,ехать
brauks,ехать
brauksi,ехать
brauksiet,ехать
brauksim,ехать
braukšu,ехать
būs,быть
būsi,быть
būsiet,быть
būsim,быть
būšu,быть
dzer,пить
dzēra,пить
dzeram,пить
dzērām,пить
dzerat,пить
dzērāt,пить
dzēri,пить
dzers,пить
dzersi,пить
dzersiet,пить
dzersim,пить
dzeršu,пить
dzeru,пить
dzēru,пить
ēd,кушать
ēda,кушать
ēdam,кушать
ēdām,кушать
ēdat,кушать
ēdāt,кушать
ēdi,кушать
ēdīs,кушать
ēdīsi,кушать
ēdīsiet,кушать
ēdīsim,кушать
ēdīšu,кушать
ēdu,кушать
ej,идти
ejam,идти
ejat,идти
eju,идти
esam,быть
esat,быть
esi,быть
esmu,быть
gāja,идти
gājām,идти
gājāt,идти
gāji,идти
gāju,идти
ies,идти
iesi,идти
iesiet,идти
iesim,идти
iešu,идти
iet,идти
ir,быть
pārdeva,продать
pārdevām,продать
pārdevāt,продать
pārdevi,продать
pārdevu,продать
pārdod,продать
pārdodam,продать
pārdodat,продать
pārdodu,продать
pārdos,продать
pārdosi,продать
pārdosiet,продать
pārdosim,продать
pārdošu,продать
patīc,нравиться
patīk,нравиться
patika,нравиться
patikām,нравиться
patīkam,нравиться
patikāt,нравиться
patīkat,нравиться
patiki,нравиться
patiks,нравиться
patiksi,нравиться
patiksiet,нравиться
patiksim,нравиться
patikšu,нравиться
patiku,нравиться
patīku,нравиться
pērc,покупать
pērk,покупать
pērkam,покупать
pērkat,покупать
pērku,покупать
pirka,покупать
pirkām,покупать
pirkāt,покупать
pirki,покупать
pirks,покупать
pirksi,покупать
pirksiet,покупать
pirksim,покупать
pirkšu,покупать
pirku,покупать
skrēja,бежать
skrējām,бежать
skrējāt,бежать
skrēji,бежать
skrēju,бежать
skrien,бежать
skrienam,бежать
skrienat,бежать
skrienu,бежать
skries,бежать
skriesi,бежать
skriesiet,бежать
skriesim,бежать
skriešu,бежать
