word,translation
cēla,поднимать
cēlām,поднимать
cēlāt,поднимать
cēli,поднимать
cels,поднимать
celsi,поднимать
celsiet,поднимать
celsim,поднимать
celšu,поднимать
cēlu,поднимать
ceļ,поднимать
ceļam,поднимать
ceļat,поднимать
ceļu,поднимать
gūs,"получать, обрести"
gūsi,"получать, обрести"
gūsiet,"получать, обрести"
gūsim,"получать, обрести"
gūst,"получать, обрести"
gūstam,"получать, обрести"
gūstat,"получать, обрести"
gūsti,"получать, обрести"
gūstu,"получать, обрести"
gūšu,"получать, обрести"
guva,"получать, обрести"
guvām,"получать, обрести"
guvāt,"получать, обрести"
guvi,"получать, обрести"
guvu,"получать, обрести"
jūt,чувствовать
juta,чувствовать
jutām,чувствовать
jūtam,чувствовать
jutāt,чувствовать
jūtat,чувствовать
juti,чувствовать
jūti,чувствовать
jutīs,чувствовать
jutīsi,чувствовать
jutīsiet,чувствовать
jutīsim,чувствовать
jutīšu,чувствовать
jutu,чувствовать
jūtu,чувствовать
kļūs,становиться
kļūsi,становиться
kļūsiet,становиться
kļūsim,становиться
kļūst,становиться
kļūstam,становиться
kļūstat,становиться
kļūsti,становиться
kļūstu,становиться
kļūšu,становиться
kļuva,становиться
kļuvām,становиться
kļuvāt,становиться
kļuvi,становиться
kļuvu,становиться
met,бросать
meta,бросать
metam,бросать
metām,бросать
metat,бросать
metāt,бросать
meti,бросать
metīs,бросать
metīsi,бросать
metīsiet,бросать
metīsim,бросать
metīšu,бросать
metu,бросать
ved,везти
veda,везти
vedam,везти
vedām,везти
vedat,везти
vedāt,везти
vedi,везти
vedīs,везти
vedīsi,везти
vedīsiet,везти
vedīsim,везти
vedīšu,везти
vedu,везти
zūd,исчезать
zuda,исчезать
zudīs,исчезать
